sina_code,name,tag,amount,today_pct,turnover,open_pct,price,pct_10,link_dragon,vol,vol_prev,vol_ratio,code
sh600783,鲁信创投,持仓/鲁信创投/2板,0.0,10.0,0.67,10.0,26.94,79.36,,0,0,0,600783
sz000859,国风新材,1板,0.0,9.99,7.56,8.4,12.44,29.58,,0,0,0,000859
sz301046,能辉科技,首板,0.0,12.91,12.3,0.0,27.81,11.15,,0,0,0,301046
sh600775,南京熊猫,F佬/南京熊猫(脑机+航天/低位叠加/没动) # 复盘：归类为低位叠加日内强势，没动/3板,0.0,10.01,1.35,10.01,16.26,46.35,,0,0,0,600775
sz300141,和顺电气,首板/炸板/反包预期,0.0,10.37,23.77,5.98,14.58,25.26,,0,0,0,300141
sz001331,胜通能源,2板,0.0,9.99,1.63,9.99,56.03,159.4,,0,0,0,001331
sz002163,海南发展,F佬/海南发展(免税/防守持仓) # 复盘未提及，维持原判,0.0,0.19,18.46,0.24,20.79,30.02,,0,0,0,002163
sz300054,鼎龙股份,首板,0.0,11.27,10.0,4.0,44.83,16.05,,0,0,0,300054
sh605155,西大门,📉跌停/博弈修复,0.0,-9.33,8.13,-0.37,17.0,5.2,,0,0,0,605155
sh603125,常青科技,1板,0.0,9.98,10.84,1.47,18.74,5.7,,0,0,0,603125
sz300118,东方日升,首板,0.0,11.87,24.53,6.45,16.3,25.29,,0,0,0,300118
sz001231,农心科技,持仓/农心科技/📉跌停/博弈修复,0.0,-10.01,22.41,-10.01,27.15,25.69,,0,0,0,001231
sz001400,江顺科技,2板,0.0,10.0,30.65,1.93,93.87,43.91,,0,0,0,001400
sz002146,荣盛发展,1板,0.0,9.94,8.68,1.17,1.88,19.75,,0,0,0,002146
sh603877,太平鸟,1板,0.0,9.98,3.14,0.13,16.31,7.09,,0,0,0,603877
