sina_code,name,tag,amount,today_pct,turnover,open_pct,price,risk_level,risk_msg,trigger_next,risk_rule,deviation_val_10d,deviation_val_30d,call_auction_ratio,last_amount,limit_up_type,pct_10,link_dragon,vol,vol_prev,vol_ratio,code
sz002460,赣锋锂业,★人气/成交,4756000000.0,3.95,5.78,3.53,67.97,🟢 Safe,-,-,,0.0,0.0,0,3418000000.0,0,2.78,,0,0,0,002460
sz300456,赛微电子,★人气/成交,4746000000.0,5.31,14.57,-1.88,55.93,🟢 Safe,-,-,,0.0,0.0,0,3946000000.0,0,-5.35,,0,0,0,300456
sh601099,太平洋,★人气/成交/首板/👀焚诀预期/炸板/[换手板],4736000000.0,7.84,15.36,0.0,4.54,🟢 Safe,-,-,,0.0,0.0,0,0.0,0,9.66,,0,0,0,601099
sz002361,神剑股份,F佬/神剑股份(即将出异动/周一低吸)/★人气/成交,4688000000.0,7.69,35.67,0.0,16.8,🟢 Safe,-,-,,0.0,0.0,0,5118000000.0,0,40.35,,0,0,0,002361
sz300364,中文在线,🐉龙虎榜/💰北向/3日(4.7亿)/💰机构/3日(9252万)/🏃机构/3日(9878万)/🏃北向/3日(3.9亿)/★人气/成交/1板/[换手板]/AI/智能体/短剧,4634000000.0,20.0,21.63,6.21,34.98,🟢 Safe,-,-,,0.0,0.0,0,3610000000.0,0,44.78,,0,0,0,300364
sh600895,张江高科,★人气/成交,4625000000.0,-0.82,6.29,0.02,47.15,🟢 Safe,-,-,,0.0,0.0,0,0.0,0,10.99,,0,0,0,600895
sz002241,歌尔股份,★人气/成交,4621000000.0,2.14,4.86,0.0,30.56,🟢 Safe,-,-,,0.0,0.0,0,4199000000.0,0,6.37,,0,0,0,002241
sh601179,中国西电,★人气/成交,4591000000.0,4.88,7.89,1.75,11.39,🟢 Safe,-,-,,0.0,0.0,0,0.0,0,19.39,,0,0,0,601179
sh600010,包钢股份,★人气/成交,4533000000.0,3.46,5.41,3.08,2.69,🟢 Safe,-,-,,0.0,0.0,0,2320000000.0,0,12.55,,0,0,0,600010
sh600372,中航机载,★人气/成交,4531000000.0,6.51,5.7,0.97,16.52,🟢 Safe,-,-,,0.0,0.0,0,5191000000.0,0,23.84,,0,0,0,600372
