sina_code,name,tag,amount,today_pct,turnover,open_pct,price,risk_level,risk_msg,trigger_next,risk_rule,pct_10,link_dragon,vol,vol_prev,vol_ratio,code
sz300003,乐普医疗,★人气/成交/💰大战场,2867000000.0,-5.02,9.62,0.21,18.53,🟢 Safe,-,-,,17.13,,0,0,0,300003
sz002916,深南电路,★人气/成交/💰大战场,2858000000.0,4.25,1.77,0.32,244.3,🟢 Safe,-,-,,8.1,,0,0,0,002916
sz002735,王子新材,★人气/成交/首板/炸板/反包预期/💰大战场,2823000000.0,5.95,49.11,-0.78,20.31,🟢 Safe,-,-,,14.17,,0,0,0,002735
sh600487,亨通光电,★人气/成交/💰大战场,2817000000.0,1.34,4.61,0.16,24.92,🟢 Safe,-,-,,-4.67,,0,0,0,600487
sz002428,云南锗业,★人气/成交/💰大战场,2794000000.0,3.63,13.06,2.47,33.1,🟢 Safe,-,-,,13.78,,0,0,0,002428
sz002383,合众思壮,★人气/成交/首板/炸板/反包预期/💰大战场,2781000000.0,5.22,26.03,4.99,14.12,🟢 Safe,-,-,,29.42,,0,0,0,002383
sh601012,隆基绿能,★人气/成交/💰大战场,2747000000.0,-0.96,1.94,0.0,18.65,🟢 Safe,-,-,,2.98,,0,0,0,601012
sz300570,太辰光,★人气/成交/💰大战场,2710000000.0,2.37,11.81,1.18,118.88,🟢 Safe,-,-,,-0.47,,0,0,0,300570
sz000807,云铝股份,★人气/成交/💰大战场,2680000000.0,-3.21,2.26,-0.14,33.78,🟢 Safe,-,-,,14.98,,0,0,0,000807
sh601688,华泰证券,★人气/成交/💰大战场,2673000000.0,-1.33,1.45,0.04,25.22,🟢 Safe,-,-,,9.08,,0,0,0,601688
sh600309,万华化学,★人气/成交/💰大战场,2667000000.0,-1.23,1.03,-0.84,81.93,🟢 Safe,-,-,,8.1,,0,0,0,600309
sh600219,南山铝业,★人气/成交/💰大战场,2654000000.0,2.82,3.99,0.53,5.83,🟢 Safe,-,-,,20.95,,0,0,0,600219
sz300377,赢时胜,★人气/成交/💰大战场,2632000000.0,-7.45,16.96,-2.4,21.99,🟢 Safe,-,-,,-2.44,,0,0,0,300377
sh600549,厦门钨业,★人气/成交/💰大战场,2622000000.0,3.53,3.79,0.92,44.85,🟢 Safe,-,-,,8.49,,0,0,0,600549
