代码		    名称		涨幅		现价		当日成交额		换手		量比		流通市值		连续涨停天数		涨停原因类别		所属行业		所属概念		涨停开板次数		几天几板		10日涨幅		20日涨幅		竞价涨幅%		早盘竞价金额		尾盘竞价金额		
SH600075	新疆天业	-3.11%		5.30		4.00亿		4.34%		1.98		90.49亿		--		--		化学原料	【煤化工概念;生态农业;可降解塑料;水泥概念;新疆振兴;绿色电力;碳交易;西部大开发;国企改革;一带一路;回购增持再贷款概念;储能;沪股通;融资融券】	--		0		+11.81%		+10.42%		+2.38		6060880		4894550		
SH600076	康欣新材	+0.28%		3.64		2.05亿		4.15%		0.87		48.94亿		--		--		包装印刷	【土地流转;乡村振兴;碳交易;碳中和;国企改革;回购增持再贷款概念;融资融券】	--		0		+15.19%		+23.81%		-1.10		641174		3298612		
SH600078	澄星股份	-4.55%		10.49		7.57亿		10.75%		2.02		69.50亿		--		--		农化制品	【磷化工;绿色电力】	--		0		+4.69%		-1.78%		+0.09		13454122	8238846		
SH600080	金花股份	+0.26%		7.67		4427.79万	1.54%		0.88		28.63亿		--		--		中药		【流感;创新药;医疗器械概念;西部大开发】	--		0		-2.91%		-6.12%		+0.00		298350		487045		
SH600081	东风科技	-1.59%		11.78		5065.86万	0.77%		1.39		65.15亿		--		--		汽车零部件	【长安汽车概念;一体化压铸;华为汽车;无人驾驶;机器人概念;氢能源;新能源汽车;汽车热管理;减速器;传感器;比亚迪概念;EDR概念;汽车电子;智能座舱;沪股通;融资融券】	--		0		-1.09%		-2.81%		+0.08		240798		227389		
SH600082	海泰发展	+1.96%		4.17		1.09亿		4.11%		1.62		26.45亿		--		--		房地产		【天津自贸区;国企改革;京津冀一体化;创投】	--		--		+2.96%		-2.80%		+0.00		166463		493311		
SH600084	中信尼雅	+0.00%		5.28		2197.81万	0.37%		1.03		59.33亿		--		--		饮料制造	【农业种植;白酒概念;化债概念(AMC概念);乡村振兴;国企改革;新疆振兴;西部大开发;中字头股票;沪股通】	--		--		-3.30%		-4.35%		+0.19		54487		228624		
SH600085	同仁堂		-0.49%		32.25		1.80亿		0.41%		0.95		442.30亿	--		--		中药		【超级品牌;证金持股;医药电商;流感;国企改革;智能医疗;DeepSeek概念;沪股通;融资融券】	--		--		+0.22%		-2.92%		+0.09		1044568		1338375		
SH600088	中视传媒	-0.49%		16.33		6505.51万	1.00%		0.71		64.95亿		--		--		影视院线	【文化传媒概念;旅游概念;虚拟数字人;乡村振兴;国企改革;融资融券;沪股通;中字头股票】	--		--		+1.30%		-2.04%		-0.18		201474		581348		
SH600089	特变电工	+2.80%		24.19		62.57亿		5.12%		1.62		1222.27亿	--		--		综合		【柔性直流输电;抽水蓄能;特高压;超超临界发电;核电;硅能源;智能电网;虚拟电厂;黄金概念;高压快充;风电;海工装备;光伏概念;储能;煤炭概念;充电桩;雅下水电概念;绿色电力;煤化工概念;数据中心;一带一路;沪股通;融资融券;水利;新疆振兴;西部大开发;新能源汽车;工业互联网;碳纤维;雄安新区;物联网;创投;数字经济】	--		--		+7.70%		+9.16%		+0.76		31562752	74019223	
SH600094	大名城		-0.47%		4.21		1.04亿		1.16%		0.88		89.51亿		--		--		房地产		【物业管理;参股券商;参股保险;旅游概念;数字经济;低空经济;卫星导航;商业航天;芯片概念;算力租赁;数据中心;6G概念;5G;沪股通;融资融券】	--		--		-0.94%		+2.68%		+0.71		577656		5076839		
SH600095	湘财股份	-2.43%		11.62		7.25亿		2.16%		1.55		332.24亿	--		--		证券		【参股券商;互联网金融;参股银行;创投;黑龙江自贸区;股权转让(并购重组);融资融券;沪股通】	--		--		+4.50%		-0.60%		+0.08		6513088		8181642		
SH600096	云天化		-0.87%		35.41		20.05亿		3.10%		0.93		645.52亿	--		--		农化制品	【磷化工;氟化工概念;化肥;煤化工概念;煤炭概念;锂电池概念;西部大开发;碳中和;国企改革;乡村振兴;融资融券;沪股通】	--		--		+15.30%		+13.17%		+0.00		14682027	14100262	
SH600097	开创国际	+2.70%		11.81		1.72亿		6.07%		2.51		28.45亿		--		--		养殖业		【航运概念;国企改革;上海国企改革;上海自贸区;人民币贬值受益】	--		--		+0.60%		-4.06%		+0.52		663544		1673477		
SH600098	广州发展	+0.76%		6.65		1.44亿		0.62%		0.98		233.14亿	--		--		电力		【超超临界发电;天然气;绿色电力;抽水蓄能;国企改革;可燃冰;风电;广东自贸区;氢能源;回购增持再贷款概念;充电桩;储能;粤港澳大湾区;融资融券;沪股通】	--		--		-1.63%		-0.75%		-0.15		330818		1058680		
SH600099	林海股份	-1.63%		10.27		3322.21万	1.47%		1.11		22.50亿		--		--		汽车服务及其他	【乡村振兴;国企改革;农机;央企国企改革;专精特新;两轮车;无人驾驶】	--		--		-0.39%		-4.20%		-0.38		92560		129402		
